task_id,requirement,initial_status,evidence,files,tests,commit,final_status,blocker,release_candidate_sha
J3,Restore drill,PASS,"Backup restored into isolated target nur_dr_drill_29976 with revision, object digest, database dump digest, and row parity verified.",infra/scripts/dr-drill.sh; docs/completion/MANUS_PHASE_J_RUNTIME_EVIDENCE.md,RESTORE VERIFIED; source and target revision parity; users 9/9; objects 2,375e0f8ebeb9adceabd48840390aed407e1b6fe8,PASS,Local isolated proof only,9cc7afb9dd6b8f20d2c92fb98999a1f23f9c56cc
J4,Crash and recovery drill,PASS,"Real-broker restart, redelivery, lease-expiry reclaim, and crash-recovery paths produced durable idempotent outcomes.",apps/api/app/tests/agentic/test_real_broker_e2e_db.py; apps/api/app/tests/agentic/test_vertical_slices_db.py; docs/completion/MANUS_PHASE_J_RUNTIME_EVIDENCE.md,"3 passed, 6 deselected in 28.29s",375e0f8ebeb9adceabd48840390aed407e1b6fe8,PASS,None,9cc7afb9dd6b8f20d2c92fb98999a1f23f9c56cc
J5,Static release gate,PASS,"Complete static release gate passed canonical V197 integrity, secret scan, local provider safety regressions, API tests, web typecheck, web tests, build, and mocked browser gates.",infra/scripts/release-gate.sh; infra/scripts/check-v197-integrity.sh; docs/completion/MANUS_PHASE_J_RUNTIME_EVIDENCE.md,"STATIC_GATE=PASS; RELEASE_GATE=PASS mode=static; mocked browser gate 9 passed, 1 skipped",375e0f8ebeb9adceabd48840390aed407e1b6fe8,PASS,No live provider claim,9cc7afb9dd6b8f20d2c92fb98999a1f23f9c56cc
J6,Live provider gate,HOLD-DEPENDENCY,Live release gate reached healthy local services and honestly stopped because the configured provider was disabled.,infra/scripts/release-gate.sh; docs/completion/MANUS_PHASE_J_RUNTIME_EVIDENCE.md,live gate exit 1: ai_provider=openai required; got disabled,375e0f8ebeb9adceabd48840390aed407e1b6fe8,HOLD-DEPENDENCY,Approved live provider credential and reachable model catalog are unavailable,9cc7afb9dd6b8f20d2c92fb98999a1f23f9c56cc
J7,Real-stack browser matrix,PASS-CANDIDATE,Supported Chromium desktop and Chromium mobile real-stack matrices are green, including route navigation, accessibility, reduced motion, runtime lifecycle, adaptive performance, Track-A, and direct-host geometry; evidence is bound to release-candidate SHA 9cc7afb9dd6b8f20d2c92fb98999a1f23f9c56cc.,apps/web/e2e/v197-responsive-accessibility.spec.ts; apps/web/e2e/v197-runtime-lifecycle.spec.ts; apps/web/e2e/surface-navigation.spec.ts; apps/web/e2e/v197-core-routes-forensic.spec.ts; apps/web/e2e/v197-adaptive-performance.spec.ts; apps/web/e2e/track-a-mobile-webkit.spec.ts; docs/completion/MANUS_J7_J8_BROWSER_MATRIX.md,Chromium desktop 17 passed 1 skipped; Chromium mobile 10 passed; exact-head CI run 32111842408 passed,9cc7afb9dd6b8f20d2c92fb98999a1f23f9c56cc,PASS-CANDIDATE,Independent review and later promotion gates remain,9cc7afb9dd6b8f20d2c92fb98999a1f23f9c56cc
J8,"Cross-browser, accessibility, and performance",PARTIAL,Chromium desktop/mobile supported matrices and Track-A WebKit proofs pass, but the final WebKit-mobile HOLD route proof now passes after iframe ownership and fixture repairs, while the responsive viewport matrix retains one browser page-closure failure.,apps/web/e2e/final-webkit-mobile.spec.ts; apps/web/e2e/track-a-mobile-webkit.spec.ts; apps/web/e2e/v197-responsive-accessibility.spec.ts; apps/web/e2e/v197-adaptive-performance.spec.ts; docs/completion/MANUS_J7_J8_BROWSER_MATRIX.md,WebKit mobile final HOLD: 1 passed; responsive matrix: 3 passed 1 browser-runtime failure; Track-A and direct-host proofs pass,9cc7afb9dd6b8f20d2c92fb98999a1f23f9c56cc,PARTIAL,Resolve WebKit full-matrix crash/hidden-stage failures or record supported-browser infrastructure hold,9cc7afb9dd6b8f20d2c92fb98999a1f23f9c56cc
J9,Fresh-extract artifact,PASS,"Truthful HOLD package built and verified from release-candidate SHA 9cc7afb9dd6b8f20d2c92fb98999a1f23f9c56cc; extracted V197 integrity, secret scan, and naming scan passed.",infra/scripts/package-release.sh; infra/scripts/verify-release-package.sh; docs/completion/MANUS_HANDOFF.md; docs/completion/INDEPENDENT_REVIEW_PACKET.md,829 entries; 9225297 uncompressed bytes; archive SHA-256 21b5902ba18a6dc991682a1e12c42e17158459c3f08f39683170be85c29db2d7; package verify PASS,9cc7afb9dd6b8f20d2c92fb98999a1f23f9c56cc,PASS,"Artifact is intentionally HOLD, not FULL_PASS",9cc7afb9dd6b8f20d2c92fb98999a1f23f9c56cc
J10,Independent final review,HOLD-DEPENDENCY,Independent review packet is prepared and bound to the frozen SHA, but no independent reviewer signoff was performed by the implementation agent.,docs/completion/INDEPENDENT_REVIEW_PACKET.md; docs/completion/MANUS_HANDOFF.md,Review packet ready; independent signoff not performed,9cc7afb9dd6b8f20d2c92fb98999a1f23f9c56cc,HOLD-DEPENDENCY,Requires an independent reviewer and final route/release matrix,9cc7afb9dd6b8f20d2c92fb98999a1f23f9c56cc
K1,Final integration PR,PASS-CANDIDATE,Draft integration PR #2 exists and was updated through final documentation head 1001b748e4c246fd3f2c48b9842f665d9be4ce65; K2 PASS-CANDIDATE evidence is published for independent review.,https://github.com/am-selenephos/NUR---Latest/pull/2; docs/completion/MANUS_HANDOFF.md; docs/completion/INDEPENDENT_REVIEW_PACKET.md,PR #2 draft exists and was updated through final documentation head 1001b748e4c246fd3f2c48b9842f665d9be4ce65; final K2 PASS-CANDIDATE evidence is published,9cc7afb9dd6b8f20d2c92fb98999a1f23f9c56cc,PASS-CANDIDATE,Retain the draft PR for independent review; do not merge while J8/J10 and other promotion gates remain held,9cc7afb9dd6b8f20d2c92fb98999a1f23f9c56cc
K2,Exact-head CI,PASS-CANDIDATE,Definitive exact-head NUR Readiness run 32111842408 passed on documentation head 7878308548d7e820cad63bb11874816bc2cb5b77; API Ruff and pytest plus web/security typecheck, unit, build, mocked browser, mobile typecheck, audit, secret, naming, and V197 gates all passed.,.github/workflows/readiness.yml; PR #2; docs/completion/MANUS_HANDOFF.md; docs/completion/INDEPENDENT_REVIEW_PACKET.md,Run 32111842408 PASS on exact head 7878308548d7e820cad63bb11874816bc2cb5b77; candidate implementation SHA 9cc7afb9dd6b8f20d2c92fb98999a1f23f9c56cc,PASS-CANDIDATE,No internal blocker; retain K2 as candidate evidence until independent review and any required release promotion,9cc7afb9dd6b8f20d2c92fb98999a1f23f9c56cc
K3,Merge,HOLD-DEPENDENCY,Merge was intentionally not performed because the completion verdict is NUR_PARTIAL and applicable gates remain held.,docs/completion/MANUS_HANDOFF.md,No merge attempted; canonical main remains 6b04918611c6edff9b20b76f0c7df2d950bf4d4d,5fba022333c3f06c0b688721c75833b9d489d554,HOLD-DEPENDENCY,Do not merge until every applicable release gate is green on one exact SHA,9cc7afb9dd6b8f20d2c92fb98999a1f23f9c56cc
K4,Main CI,HOLD-DEPENDENCY,Canonical main CI was not rerun because no merge or main change was permitted.,docs/completion/MANUS_HANDOFF.md,Canonical main unchanged; no post-merge CI exists for this branch,5fba022333c3f06c0b688721c75833b9d489d554,HOLD-DEPENDENCY,Requires a permitted exact-head merge and protected-main CI,9cc7afb9dd6b8f20d2c92fb98999a1f23f9c56cc
K5,Tag,HOLD-DEPENDENCY,No release tag was created because the branch is not NUR_FULL_PASS.,docs/completion/MANUS_PHASE_J_RUNTIME_EVIDENCE.md,No tag created; verified artifact is truthful HOLD,5fba022333c3f06c0b688721c75833b9d489d554,HOLD-DEPENDENCY,Tag only after full-pass approval and main CI,9cc7afb9dd6b8f20d2c92fb98999a1f23f9c56cc
K6,Repository rename runbook,PASS-CANDIDATE,Repository rename safety and rollback runbook is documented; rename operation intentionally remains unexecuted.,docs/completion/MANUS_REPOSITORY_RENAME_RUNBOOK.md,Runbook committed on completion branch; canonical repository name unchanged,5fba022333c3f06c0b688721c75833b9d489d554,PASS-CANDIDATE,Administrative rename requires post-promotion owner action,9cc7afb9dd6b8f20d2c92fb98999a1f23f9c56cc
