ID,PHASE,TASK,REQUIREMENT,SOURCE_SECTION,CURRENT_IMPLEMENTATION,CURRENT_TEST,CURRENT_EVIDENCE,EXACT_SHA,STATUS,APPLICABLE_TO_CURRENT_RELEASE,SUPERSESSION,BLOCKER_TYPE,NEXT_ACTION,CATEGORY
I7,I,Dependency and SBOM,Dependency and SBOM,MANUS_COMPLETION_LEDGER.csv,infra/scripts/generate_sbom.py; docs/completion/sbom/MANUS_SBOM_NODE_CYCLONEDX.json; docs/completion/sbom/MANUS_SBOM_PYTHON_CYCLONEDX.json,SBOM generator completed; Ruff clean; node SHA-256 50404507c97b267de9b110581f463b2c80db16a9229141e85c59ba03bd3c7e35; Python SHA-256 ae4f9ffd8ed1cfdbc52d2f08b6f9010010fe3ce33bbfb175839d888656cc4bd8,Deterministic CycloneDX inventories generated from package-lock.json and the locked Python requirements; JavaScript 133 components and Python 63 components with recorded SHA-256 digests.,d012c5429bd035deb8a89b7fe19deb49c111356c,PASS-CANDIDATE,YES,,NONE,None,EVIDENCE
J1,J,Cold boot,Cold boot,MANUS_COMPLETION_LEDGER.csv,RUN_NUR.sh; infra/scripts/boot-smoke.sh; docs/completion/MANUS_J7_J8_BROWSER_MATRIX.md,Explicit-config boot-smoke returned /readyz 200 /healthz 200 /metrics 200 and SIGTERM rc=143,Readiness investigation separated Docker absence from configuration: boot-smoke passes when pointed at the working nur_b6 PostgreSQL and Redis values; official Docker cold boot remains unavailable.,d012c5429bd035deb8a89b7fe19deb49c111356c,PASS-CANDIDATE,YES,,NONE,Docker is not installed in this sandbox; rerun official Docker cold boot in release infrastructure,RELEASE
J10,J,Independent final review,Independent final review,MANUS_COMPLETION_LEDGER.csv,but no independent reviewer signoff was performed by the implementation agent.,docs/completion/INDEPENDENT_REVIEW_PACKET.md; docs/completion/MANUS_HANDOFF.md,Independent review packet is prepared and bound to the frozen SHA,Requires an independent reviewer and final route/release matrix,NOT_PROVEN,YES,,HOLD-DEPENDENCY,HOLD-DEPENDENCY,RELEASE
J2,J,Backup,Backup,MANUS_COMPLETION_LEDGER.csv,infra/scripts/dr-drill.sh; docs/completion/MANUS_PHASE_J_RUNTIME_EVIDENCE.md,DR DRILL PASS; manifest revision 0058_agentic_insights_engine; object_bytes 4122,Isolated disaster-recovery backup manifest created from real nur_b6 at Alembic revision 0058_agentic_insights_engine.,d012c5429bd035deb8a89b7fe19deb49c111356c,PASS-CANDIDATE,YES,,NONE,Local isolated proof only; not production backup-service availability,RELEASE
J3,J,Restore drill,Restore drill,MANUS_COMPLETION_LEDGER.csv,infra/scripts/dr-drill.sh; docs/completion/MANUS_PHASE_J_RUNTIME_EVIDENCE.md,RESTORE VERIFIED; source and target revision parity; users 9/9; objects 2,"Backup restored into isolated target nur_dr_drill_29976 with revision, object digest, database dump digest, and row parity verified.",d012c5429bd035deb8a89b7fe19deb49c111356c,PASS-CANDIDATE,YES,,NONE,Local isolated proof only,RELEASE
J4,J,Crash and recovery drill,Crash and recovery drill,MANUS_COMPLETION_LEDGER.csv,apps/api/app/tests/agentic/test_real_broker_e2e_db.py; apps/api/app/tests/agentic/test_vertical_slices_db.py; docs/completion/MANUS_PHASE_J_RUNTIME_EVIDENCE.md,"3 passed, 6 deselected in 28.29s","Real-broker restart, redelivery, lease-expiry reclaim, and crash-recovery paths produced durable idempotent outcomes.",d012c5429bd035deb8a89b7fe19deb49c111356c,PASS-CANDIDATE,YES,,NONE,None,RELEASE
J5,J,Static release gate,Static release gate,MANUS_COMPLETION_LEDGER.csv,infra/scripts/release-gate.sh; infra/scripts/check-v197-integrity.sh; docs/completion/MANUS_PHASE_J_RUNTIME_EVIDENCE.md,"STATIC_GATE=PASS; RELEASE_GATE=PASS mode=static; mocked browser gate 9 passed, 1 skipped","Complete static release gate passed canonical V197 integrity, secret scan, local provider safety regressions, API tests, web typecheck, web tests, build, and mocked browser gates.",d012c5429bd035deb8a89b7fe19deb49c111356c,PASS-CANDIDATE,YES,,NONE,No live provider claim,RELEASE
J6,J,Live provider gate,Live provider gate,MANUS_COMPLETION_LEDGER.csv,infra/scripts/release-gate.sh; docs/completion/MANUS_PHASE_J_RUNTIME_EVIDENCE.md,live gate exit 1: ai_provider=openai required; got disabled,Live release gate reached healthy local services and honestly stopped because the configured provider was disabled.,d012c5429bd035deb8a89b7fe19deb49c111356c,NOT_PROVEN,YES,,Approved live provider credential and reachable model catalog are unavailable,Approved live provider credential and reachable model catalog are unavailable,RELEASE
J7,J,Real-stack browser matrix,Real-stack browser matrix,MANUS_COMPLETION_LEDGER.csv,including route navigation,accessibility,Supported Chromium desktop and Chromium mobile real-stack matrices are green,Track-A,NOT_PROVEN,YES,,adaptive performance,adaptive performance,RELEASE
J8,J,"Cross-browser, accessibility, and performance","Cross-browser, accessibility, and performance",MANUS_COMPLETION_LEDGER.csv,but the final WebKit-mobile HOLD route proof now passes after iframe ownership and fixture repairs,while the responsive viewport matrix retains one browser page-closure failure.,Chromium desktop/mobile supported matrices and Track-A WebKit proofs pass,PARTIAL,NOT_PROVEN,YES,,d012c5429bd035deb8a89b7fe19deb49c111356c,d012c5429bd035deb8a89b7fe19deb49c111356c,RELEASE
J9,J,Fresh-extract artifact,Fresh-extract artifact,MANUS_COMPLETION_LEDGER.csv,infra/scripts/package-release.sh; infra/scripts/verify-release-package.sh; docs/completion/MANUS_HANDOFF.md; docs/completion/INDEPENDENT_REVIEW_PACKET.md,829 entries; 9223046 uncompressed bytes; archive SHA-256 eec71366616ac4495c9e7a82f26a0d63b123460d0bad03ceff16e33c34bd04c3; package verify PASS,"Truthful HOLD package built and verified from release-candidate SHA d012c5429bd035deb8a89b7fe19deb49c111356c; extracted V197 integrity, secret scan, and naming scan passed.",d012c5429bd035deb8a89b7fe19deb49c111356c,PASS-CANDIDATE,YES,,NONE,"Artifact is intentionally HOLD, not FULL_PASS",RELEASE
K1,K,Final integration PR,Final integration PR,MANUS_COMPLETION_LEDGER.csv,https://github.com/am-selenephos/NUR---Latest/pull/2; docs/completion/MANUS_HANDOFF.md; docs/completion/INDEPENDENT_REVIEW_PACKET.md,PR #2 draft exists and was updated through prior documentation head 10dce5f9485e56af820f1c0010d20d3d85be5c74; corrected candidate SHA d012c5429bd035deb8a89b7fe19deb49c111356c and final evidence publication remain pending,Draft integration PR #2 exists and was updated through prior documentation head 10dce5f9485e56af820f1c0010d20d3d85be5c74; corrected candidate SHA d012c5429bd035deb8a89b7fe19deb49c111356c and final evidence commit remain to be published.,then update PR #2,PASS-CANDIDATE,YES,,NONE,Publish corrected candidate d012c5429bd035deb8a89b7fe19deb49c111356c and final evidence,RELEASE
K2,K,Exact-head CI,Exact-head CI,MANUS_COMPLETION_LEDGER.csv,.github/workflows/readiness.yml; PR #2; docs/completion/MANUS_HANDOFF.md; docs/completion/INDEPENDENT_REVIEW_PACKET.md,Prior exact-head run 32109905634 failed on documentation head 10dce5f9485e56af820f1c0010d20d3d85be5c74; corrected candidate d012c5429bd035deb8a89b7fe19deb49c111356c requires a fresh run,Exact-head CI run 32109905634 failed on prior documentation head 10dce5f9485e56af820f1c0010d20d3d85be5c74 because the Systems geometry assertion rejected canonical global Community navigation; corrected candidate d012c5429bd035deb8a89b7fe19deb49c111356c still requires a fresh exact-head run.,HOLD-DEPENDENCY,NOT_PROVEN,YES,,d012c5429bd035deb8a89b7fe19deb49c111356c,d012c5429bd035deb8a89b7fe19deb49c111356c,RELEASE
K3,K,Merge,Merge,MANUS_COMPLETION_LEDGER.csv,docs/completion/MANUS_HANDOFF.md,No merge attempted; canonical main remains 6b04918611c6edff9b20b76f0c7df2d950bf4d4d,Merge was intentionally not performed because the completion verdict is NUR_PARTIAL and applicable gates remain held.,d012c5429bd035deb8a89b7fe19deb49c111356c,NOT_PROVEN,YES,,Do not merge until every applicable release gate is green on one exact SHA,Do not merge until every applicable release gate is green on one exact SHA,RELEASE
K4,K,Main CI,Main CI,MANUS_COMPLETION_LEDGER.csv,docs/completion/MANUS_HANDOFF.md,Canonical main unchanged; no post-merge CI exists for this branch,Canonical main CI was not rerun because no merge or main change was permitted.,d012c5429bd035deb8a89b7fe19deb49c111356c,NOT_PROVEN,YES,,Requires a permitted exact-head merge and protected-main CI,Requires a permitted exact-head merge and protected-main CI,RELEASE
K5,K,Tag,Tag,MANUS_COMPLETION_LEDGER.csv,docs/completion/MANUS_PHASE_J_RUNTIME_EVIDENCE.md,No tag created; verified artifact is truthful HOLD,No release tag was created because the branch is not NUR_FULL_PASS.,d012c5429bd035deb8a89b7fe19deb49c111356c,NOT_PROVEN,YES,,Tag only after full-pass approval and main CI,Tag only after full-pass approval and main CI,RELEASE
K6,K,Repository rename runbook,Repository rename runbook,MANUS_COMPLETION_LEDGER.csv,docs/completion/MANUS_REPOSITORY_RENAME_RUNBOOK.md,Runbook committed on completion branch; canonical repository name unchanged,Repository rename safety and rollback runbook is documented; rename operation intentionally remains unexecuted.,d012c5429bd035deb8a89b7fe19deb49c111356c,PASS-CANDIDATE,YES,,NONE,Administrative rename requires post-promotion owner action,RELEASE
LEGACY-C001,PRODUCT,source integrity,Canonical V197 and exact source authority remain immutable and fresh,CODEX_FULL_COMPLETION_MATRIX.csv,scripts/check-v197-integrity.ts; docs/completion/CODEX_SOURCE_AUTHORITY.md,npm run v197:integrity,integrity command output,,PARTIAL,YES,,control matrix currently stamped from an older SHA,Regenerate and validate matrix on final tree without a self-invalidating SHA stamp,IMPLEMENTATION
LEGACY-C002,PRODUCT,cold boot,A clean candidate boots API worker scheduler web and demo,CODEX_FULL_COMPLETION_MATRIX.csv,RUN_NUR.sh; infra/scripts/bootstrap-dev.sh; infra/scripts/start-nur.sh,bash RUN_NUR.sh disabled,healthz readyz process and seed output,,PARTIAL,YES,,not yet repeated from a fresh package at final SHA,Run fresh-extract package smoke,IMPLEMENTATION
LEGACY-C003,PRODUCT,authentication,Signup signin logout and session recovery work through V197,CODEX_FULL_COMPLETION_MATRIX.csv,apps/api/app/api/v1/auth.py; apps/web/src/bridge/v197Auth.ts,pytest test_auth.py and Playwright fresh-signup plus presentation-auth-recovery,API and browser results,,PASS-CANDIDATE,YES,,,Keep in final gate,IMPLEMENTATION
LEGACY-C004,PRODUCT,password recovery,Forgot reset change and revocation are secure and deliverable,CODEX_FULL_COMPLETION_MATRIX.csv,apps/api/app/api/v1/password_recovery.py; apps/api/app/services/password_delivery.py,pytest test_password_recovery.py,API test result,,EXTERNAL_BLOCKED,YES,,EXTERNAL,Keep internal PASS and require one verified sender/provider action,IMPLEMENTATION
LEGACY-C005,PRODUCT,sessions and CSRF,Cookie sessions origin and CSRF rules protect mutations,CODEX_FULL_COMPLETION_MATRIX.csv,apps/api/app/api/deps.py; apps/api/app/core/security.py,pytest test_auth.py test_rls.py,API test result,,PASS-CANDIDATE,YES,,,Keep in final gate,IMPLEMENTATION
LEGACY-C006,PRODUCT,owner isolation and RLS,Every owner domain fails closed across accounts under forced RLS,CODEX_FULL_COMPLETION_MATRIX.csv,apps/api/app/db/rls.py; apps/api/alembic/versions,pytest test_rls.py plus domain cross-owner tests,API test result,,PASS-CANDIDATE,YES,,,Run again after every new migration,IMPLEMENTATION
LEGACY-C007,PRODUCT,Talk and OpenAI,Talk uses server-side OpenAI and proves two genuine replies without key exposure,CODEX_FULL_COMPLETION_MATRIX.csv,apps/api/app/api/v1/cognition.py; apps/api/app/cognition,node infra/scripts/live-talk-two-turn-proof.mjs,live Talk proof,,EXTERNAL_BLOCKED,YES,,EXTERNAL,Run only with existing valid local credential; never copy or rotate,IMPLEMENTATION
LEGACY-C008,PRODUCT,streaming cancellation persistence,SSE ordering cancel idempotency and reload hydration are durable,CODEX_FULL_COMPLETION_MATRIX.csv,apps/api/app/cognition/streaming.py; apps/web/src/bridge/v197StreamClient.ts,pytest test_cognition_streaming.py and Playwright talk-persistence.spec.ts,API and trace artifacts,,PARTIAL,YES,,full real-stack browser test and cancellation race not green,Fix current failures and add cancellation-race proof,IMPLEMENTATION
LEGACY-C009,PRODUCT,Today,Owner check-in actions and returns hydrate after reload,CODEX_FULL_COMPLETION_MATRIX.csv,apps/api/app/api/v1/living.py; apps/web/src/bridge/v197Hydration.ts,pytest test_sol_living_system.py and Playwright visual-readiness.spec.ts,API and browser results,,PASS-CANDIDATE,YES,,,Keep in final gate,IMPLEMENTATION
LEGACY-C010,PRODUCT,Journal,Journal creation conversion and hydration are real,CODEX_FULL_COMPLETION_MATRIX.csv,apps/api/app/api/v1/cognition.py; apps/web/src/bridge/v197Actions.ts,pytest test_cognition.py and Playwright control matrix,API and browser results,,PASS-CANDIDATE,YES,,,Keep in final gate,IMPLEMENTATION
LEGACY-C011,PRODUCT,Plan,Plans steps make-easier and edit direction have complete honest behavior,CODEX_FULL_COMPLETION_MATRIX.csv,apps/api/app/api/v1/cognition.py; apps/web/src/bridge/v197Hydration.ts,pytest test_product_surfaces.py and Playwright track-a-sellable.spec.ts,API and browser results,,PARTIAL,YES,,edit direction is visible honest-disabled,Implement the owner edit flow or remove the obsolete control,IMPLEMENTATION
LEGACY-C012,PRODUCT,Systems,Exactly six current Systems have owner data diagnostics actions returns and brain field,CODEX_FULL_COMPLETION_MATRIX.csv,apps/api/app/living; apps/web/src/bridge/v197Hydration.ts,pytest test_sol_living_system.py and Playwright visual-readiness.spec.ts,API and browser results,,PASS-CANDIDATE,YES,,,Remove stale seven-System tests without restoring retired product state,IMPLEMENTATION
LEGACY-C013,PRODUCT,Map,Map has distinct spatial identity and owner-backed nodes and paths,CODEX_FULL_COMPLETION_MATRIX.csv,apps/api/app/api/v1/map.py; apps/web/src/bridge/v197Hydration.ts,pytest test_sol_contract_routes.py and Playwright universe-lenses.spec.ts,API and browser results,,PASS-CANDIDATE,YES,,,Refresh stale fixture names,IMPLEMENTATION
LEGACY-C014,PRODUCT,Orbits,Orbits has distinct nested dependency identity and owner data,CODEX_FULL_COMPLETION_MATRIX.csv,apps/api/app/api/v1/orbits.py; apps/web/src/bridge/v197Hydration.ts,pytest test_live_intelligence.py and Playwright universe-lenses.spec.ts,API and browser results,,PASS-CANDIDATE,YES,,,Keep in final gate,IMPLEMENTATION
LEGACY-C015,PRODUCT,Timeline,Timeline has distinct temporal progression and owner actions,CODEX_FULL_COMPLETION_MATRIX.csv,apps/api/app/api/v1/timeline.py; apps/web/src/bridge/v197Hydration.ts,pytest test_sol_contract_routes.py and Playwright universe-lenses.spec.ts,API and browser results,,PASS-CANDIDATE,YES,,,Keep in final gate,IMPLEMENTATION
LEGACY-C016,PRODUCT,Insights,Insights exposes claims confidence contradictions review and correction,CODEX_FULL_COMPLETION_MATRIX.csv,apps/api/app/api/v1/insights.py; apps/web/src/bridge/v197Hydration.ts,pytest test_live_intelligence.py and Playwright universe-lenses.spec.ts,API and browser results,,PASS-CANDIDATE,YES,,,Keep in final gate,IMPLEMENTATION
LEGACY-C017,PRODUCT,Research,Research supports evidence-first jobs sources provenance corrections and safe provider failure,CODEX_FULL_COMPLETION_MATRIX.csv,apps/api/app/api/v1/group_research.py; apps/api/app/api/v1/product_surfaces.py,pytest test_group_research_completion.py,API result,,PARTIAL,YES,,live retrieval and complete job UI absent,Finish provider-neutral UI and retain external fetch blocker,IMPLEMENTATION
LEGACY-C018,PRODUCT,Web Signals,Watchlists alerts notes freshness and captures have a complete owner surface,CODEX_FULL_COMPLETION_MATRIX.csv,apps/api/app/api/v1/product_surfaces.py; apps/web/src/bridge/v197Hydration.ts,pytest test_product_surfaces.py,API result,,PARTIAL,YES,,alert management and live retrieval UI incomplete,Finish local owner workflows then keep provider fail-closed,IMPLEMENTATION
LEGACY-C019,PRODUCT,Community,Bounded social product includes people saved moderation discovery and realtime where in scope,CODEX_FULL_COMPLETION_MATRIX.csv,apps/api/app/api/v1/community*.py; apps/web/src/bridge/v197Adjuncts.ts,pytest test_community_completion.py and Playwright community-group-nur.spec.ts,API and browser results,,PARTIAL,YES,,future tabs and realtime gateway incomplete,Port bounded current-compatible realtime and finish or hide deferred routes,IMPLEMENTATION
LEGACY-C020,PRODUCT,Rooms,Members messages posts comments reactions and revisions enforce membership,CODEX_FULL_COMPLETION_MATRIX.csv,apps/api/app/api/v1/community.py; apps/api/app/api/v1/community_social.py,pytest test_community_completion.py and Playwright community-group-nur.spec.ts,API and browser results,,PASS-CANDIDATE,YES,,,Keep in final gate,IMPLEMENTATION
LEGACY-C021,PRODUCT,Group NUR,Council positions decisions and syntheses persist minority context,CODEX_FULL_COMPLETION_MATRIX.csv,apps/api/app/api/v1/group_research.py; apps/web/src/bridge/v197Actions.ts,pytest test_group_nur.py test_group_research_completion.py,API result,,PASS-CANDIDATE,YES,,,Keep in final gate,IMPLEMENTATION
LEGACY-C022,PRODUCT,Consultations,Stages contributions and outcomes are bounded and owner scoped,CODEX_FULL_COMPLETION_MATRIX.csv,apps/api/app/api/v1/consultations.py; apps/web/src/bridge/v197Adjuncts.ts,pytest test_consultations.py and Playwright v197-adjuncts.spec.ts,API and browser results,,PASS-CANDIDATE,YES,,,Keep in final gate,IMPLEMENTATION
LEGACY-C023,PRODUCT,Projects,Project CRUD and all intended tabs form one coherent owner workspace,CODEX_FULL_COMPLETION_MATRIX.csv,apps/api/app/api/v1/projects.py; apps/web/src/bridge/v197Adjuncts.ts,pytest test_am_projects.py and Playwright project-deliverables.spec.ts,API and browser results,,PARTIAL,YES,,settings insights and share tabs are not complete,Finish or honestly remove each placeholder,IMPLEMENTATION
LEGACY-C024,PRODUCT,tasks,Project tasks persist state and owner-scoped updates,CODEX_FULL_COMPLETION_MATRIX.csv,apps/api/app/api/v1/projects.py; apps/web/src/bridge/v197Adjuncts.ts,pytest test_am_projects.py and Playwright project-deliverables.spec.ts,API and browser results,,PASS-CANDIDATE,YES,,,Keep in final gate,IMPLEMENTATION
LEGACY-C025,PRODUCT,files,Upload download checksum quarantine verify and delete are owner scoped,CODEX_FULL_COMPLETION_MATRIX.csv,apps/api/app/services/object_storage.py; apps/api/app/api/v1/projects.py,pytest test_am_project_storage.py test_storage_hygiene.py and project E2E,API and browser results,,PASS-CANDIDATE,YES,,,Keep in final gate,IMPLEMENTATION
LEGACY-C026,PRODUCT,agent runs,Agent proposals require explicit approval bounded capability and recoverable execution,CODEX_FULL_COMPLETION_MATRIX.csv,apps/api/app/services/project_execution.py; apps/web/src/bridge/v197Adjuncts.ts,pytest test_am_project_execution.py test_am_project_recovery.py,API result,,PARTIAL,YES,,capability breadth and full browser recovery proof limited,Finish bounded registry and evidence package UI without autonomy claims,IMPLEMENTATION
LEGACY-C027,PRODUCT,Context Capsules,Owner can select scope representation recipient expiry review create audit revoke and delete,CODEX_FULL_COMPLETION_MATRIX.csv,apps/api/app/api/v1/capsules.py; apps/web/src/bridge/v197Adjuncts.ts,pytest test_capsules.py and Playwright capsule.spec.ts,API and browser results,,PARTIAL,YES,,recipient lifecycle exists but owner creation flow is missing,Build canonical owner workflow and two-account denial proof,IMPLEMENTATION
LEGACY-C028,PRODUCT,Personal Memory,Owner can list search inspect provenance correct retire delete and export memory,CODEX_FULL_COMPLETION_MATRIX.csv,apps/api/app/api/v1/memory.py,pytest test_personal_memory.py,API result,,PARTIAL,YES,,no reachable canonical V197 surface,Add Memory adjunct route controls bridge and E2E,IMPLEMENTATION
LEGACY-C029,PRODUCT,Teach NUR,Owner can submit scoped evidence review accept reject correct and version teaching,CODEX_FULL_COMPLETION_MATRIX.csv,apps/api/app/learning,pytest test_teach_nur.py,API result,,PARTIAL,YES,,no reachable canonical V197 surface,Add Teach NUR adjunct route controls bridge and E2E,IMPLEMENTATION
LEGACY-C030,PRODUCT,Glow,Server-confirmed actions drive owner progression rewards and abuse-safe operations,CODEX_FULL_COMPLETION_MATRIX.csv,apps/api/app/api/v1/glow.py; apps/web/src/bridge/v197Adjuncts.ts,pytest test_notifications.py test_sol_living_system.py,API result,,PARTIAL,YES,,abuse experiment and operational proof incomplete,Add bounded abuse controls and current operational tests,IMPLEMENTATION
LEGACY-C031,PRODUCT,Notifications,In-app preferences quiet hours reminders delivery retry and dead-letter are complete,CODEX_FULL_COMPLETION_MATRIX.csv,apps/api/app/api/v1/notifications.py; apps/web/src/bridge/v197Adjuncts.ts,pytest test_notifications.py,API result,,PARTIAL,YES,,external adapters retry dead-letter and bounce handling incomplete,Complete adapter queue contracts and keep provider proof external,IMPLEMENTATION
LEGACY-C032,PRODUCT,translations and RTL,Reviewed locale tiers fallback Roman Urdu native script RTL bidi and diagnostics are honest,CODEX_FULL_COMPLETION_MATRIX.csv,apps/api/app/api/v1/translations.py; apps/web/src/bridge/v197I18n.ts,pytest test_translations.py and Playwright language plus accessibility specs,API and browser results,,PARTIAL,YES,,human review and extraction completeness unproven,Add extraction diagnostics and keep draft locales labeled,IMPLEMENTATION
LEGACY-C033,PRODUCT,Billing and entitlements,Plans entitlements checkout webhook portal cancellation refund status and failures have a real UI,CODEX_FULL_COMPLETION_MATRIX.csv,apps/api/app/billing; apps/api/app/models/billing.py,pytest test_billing.py,API result,,PARTIAL,YES,,no V197 billing surface and no provider test-mode proof,Build provider-neutral V197 UI then run configured test provider,IMPLEMENTATION
LEGACY-C034,PRODUCT,Omega,Evidence claims contradictions predictions mistakes review provenance export delete and RLS are bounded,CODEX_FULL_COMPLETION_MATRIX.csv,apps/api/app/omega; apps/web/src/bridge/v197Adjuncts.ts,pytest test_omega.py and Playwright omega-research.spec.ts,API and browser results,,PASS-CANDIDATE,YES,,,Run enabled Omega tests in final browser matrix,IMPLEMENTATION
LEGACY-C035,PRODUCT,Neural Simulation and TRIBE,Disabled local-research and licensed provider modes fail closed with provenance and warning,CODEX_FULL_COMPLETION_MATRIX.csv,docs/integration/tribe-g17,text probe only,historical G17 evidence,,NOT_PROVEN,YES,,no current product implementation and gated licence/access,Implement provider-neutral disabled contract and surface; never ship weights,IMPLEMENTATION
LEGACY-C036,PRODUCT,backup and restore,Database and objects restore from verified manifest with measured RPO and RTO,CODEX_FULL_COMPLETION_MATRIX.csv,apps/api/app/services/dr.py; infra/scripts/dr-drill.sh,pytest test_dr.py and bash infra/scripts/dr-drill.sh,DR result,,PARTIAL,YES,,final exact-SHA realistic drill not executed,Run isolated final drill and record measurements,IMPLEMENTATION
LEGACY-C037,PRODUCT,queue recovery,Stale runs recover or dead-letter under bounded policy,CODEX_FULL_COMPLETION_MATRIX.csv,apps/api/app/services/project_execution.py; apps/api/app/api/v1/ops.py,pytest test_am_project_recovery.py,API result,,PARTIAL,YES,,scheduled production operation unproven,Add scheduler invocation and runtime proof,IMPLEMENTATION
LEGACY-C038,PRODUCT,storage hygiene,Orphans retention checksums and deletion reconcile safely,CODEX_FULL_COMPLETION_MATRIX.csv,apps/api/app/services/storage_hygiene.py,pytest test_storage_hygiene.py,API result,,PARTIAL,YES,,scheduled sweep evidence absent,Run final isolated reconciliation and retention proof,IMPLEMENTATION
LEGACY-C039,PRODUCT,rate limits and quotas,Per-owner route plan and provider budgets fail closed,CODEX_FULL_COMPLETION_MATRIX.csv,apps/api/app/core/rate_limit.py; apps/api/app/services/ai_budget.py; apps/api/app/services/project_quota.py,pytest auth quota billing and provider tests,API result,,PARTIAL,YES,,coverage is not comprehensive across all costly mutations,Inventory routes and add missing limit tests,IMPLEMENTATION
LEGACY-C040,PRODUCT,security headers,API and web production edges enforce current security header policy,CODEX_FULL_COMPLETION_MATRIX.csv,apps/api/app/main.py,pytest test_health.py and curl production-like responses,header evidence,,PARTIAL,YES,,HSTS and web-edge headers unproven,Add production-edge header gate,IMPLEMENTATION
LEGACY-C041,PRODUCT,secret handling,No keys are exposed and historical compromised keys are rotated,CODEX_FULL_COMPLETION_MATRIX.csv,apps/api/app/core/config.py; infra/scripts/secret-scan.sh,npm run secret-scan,secret scan output,,EXTERNAL_BLOCKED,YES,,EXTERNAL,Founder verifies rotation; never print keys,IMPLEMENTATION
LEGACY-C042,PRODUCT,accessibility,All routes satisfy keyboard focus dialogs names states target exceptions contrast and reduced motion,CODEX_FULL_COMPLETION_MATRIX.csv,apps/web/src/bridge/v197Accessibility.ts; apps/web/src/styles,Playwright accessibility and core-route specs plus axe audit,browser artifacts,,PARTIAL,YES,,full corpus stale and no complete axe or screen-reader run,Fix corpus then run desktop mobile RTL reduced-motion and manual AT audit,IMPLEMENTATION
LEGACY-C043,PRODUCT,mobile,Responsive PWA and intended native shell pass mobile engines and secure boundaries,CODEX_FULL_COMPLETION_MATRIX.csv,apps/web; apps/mobile,npm run mobile:typecheck and Playwright Chromium mobile plus WebKit,mobile artifacts,,PARTIAL,YES,,full WebKit and native signing push secure-storage proof absent,Run browser matrix and classify external native credentials,IMPLEMENTATION
LEGACY-C044,PRODUCT,performance,One canvas one RAF deterministic teardown adaptive quality hidden pause and bounded soak hold,CODEX_FULL_COMPLETION_MATRIX.csv,apps/web/src/bridge/v197StarBrain.ts; v197StarField.ts; v197PerformanceProfile.ts,Playwright performance CPU lifecycle and soak specs,CDP performance artifacts,,PARTIAL,YES,,stale assertions and final ten-minute CDP soak absent,Update current contracts then run measured final soak,IMPLEMENTATION
LEGACY-C045,PRODUCT,packaging,Secret-free release package boots from a fresh extract and has SBOM and verifier,CODEX_FULL_COMPLETION_MATRIX.csv,Dockerfile; compose.yaml; RUN_NUR.sh; infra/scripts/package-release.sh,package release then verify and boot,package manifest and smoke output,,PARTIAL,YES,,SBOM and complete verifier absent,Implement verifier exclusions SBOM and fresh boot,IMPLEMENTATION
LEGACY-C046,PRODUCT,CI,Required same-SHA static API migration browser security and package gates run on GitHub,CODEX_FULL_COMPLETION_MATRIX.csv,github workflows; package.json,gh pr checks 8,GitHub Actions URLs,,PARTIAL,YES,,readiness currently runs only two mocked Chromium specs,Expand after full local corpus is current and deterministic,IMPLEMENTATION
LEGACY-C047,PRODUCT,documentation,Routes controls security operations rollback and completion truth match final code,CODEX_FULL_COMPLETION_MATRIX.csv,docs; README.md; SECURITY_NOTES.md,documentation link and freshness checks,docs/completion artifacts,,PARTIAL,YES,,multiple historical docs remain stale or conflicting,Supersede stale claims and publish final six artifacts,IMPLEMENTATION
G00,G00,Evidence truth,"Source integrity, secret scan, current completion evidence",infra/scripts/nur-gate.sh gate_G00_EVIDENCE,Current gate contains missing/stale document checks and credential-rotation founder action,NOT_PROVEN,YES,CURRENT_REQUIREMENT,Run current exact-main evidence reconciliation,EVIDENCE,,,,
G01,G01,Static/security/dependency,"Static, tests, migration heads, audit, SBOM, fresh boot",nur-gate.sh gate_G01_STATIC,"Old gate explicitly skips dependency audit, SBOM, migration upgrade/downgrade, fresh boot",NOT_PROVEN,YES,CURRENT_REQUIREMENT,Run exact-main gate and classify skips,EVIDENCE,,,,
G02,G02,Auth/session/privacy/RLS,"Auth, CSRF, owner isolation, browser auth flows",nur-gate.sh gate_G02_AUTH,Backend tests and current CI exist; full exact-main browser proof pending,PASS-CANDIDATE,YES,ALREADY_PROVEN,Capture exact-main receipt,EVIDENCE,,,,
G03,G03,Canonical V197/control contracts,"V197 integrity, control matrix, host parity, no broken controls",nur-gate.sh gate_G03_V197,Corrected V197/Omega/Research architecture exists; current-main regeneration pending,PASS-CANDIDATE,YES,ALREADY_PROVEN,Run current exact-main integrity and browser gates,EVIDENCE,,,,
G04,G04,Performance/accessibility,"Responsive, accessibility, performance and soak",nur-gate.sh gate_G04_PERFORMANCE,Old gate skips reference devices and ten-minute soak,NOT_PROVEN,YES,CURRENT_REQUIREMENT,Run corrected matrix and measured soak,EVIDENCE,,,,
G05,G05,Live AI/provider,"Provider contract, secret scan, two-turn real call, budgets",nur-gate.sh gate_G05_LIVE_AI,Prompt states live OpenAI proof; local exact-main secret/config proof pending,PASS-CANDIDATE,YES,EXTERNAL,Rerun with secure local credential if available,EXTERNAL,,,,
