"requirement_id","source_document","source_line_range","gate","feature","required_behavior","current_files","current_implementation","visible_v197_control","bridge_binding","api_endpoint","service","database_model","migration","authorization_or_rls","worker_or_external_provider","unit_test","integration_test","browser_e2e","runtime_evidence","operational_evidence","current_status","exact_gap","required_fix","acceptance_test","founder_action_required","final_verdict"
"G04-013","MASTERPLAN_V5","1412-1441, 3393-3415","G04_PERFORMANCE","Long strings and RTL layout","Long-string and RTL layouts do not break geometry","apps/web/e2e/v197-performance.spec.ts, v197-performance-acceptance.spec.ts, docs/v197-performance-report.md","Performance specs and an older performance report exist in the repo","","","","","","","","","","","v197-performance-acceptance.spec.ts","","","UNPROVEN","No measurement captured on 6d7eeef this session; named reference devices not declared","Run the performance suite on the candidate and record device-named measurements","budget: no overflow","","OPEN"
"G04-014","MASTERPLAN_V5","1412-1441, 3393-3415","G04_PERFORMANCE","Contractual centring delta","<=2 px centre delta where contractually centred","apps/web/e2e/v197-performance.spec.ts, v197-performance-acceptance.spec.ts, docs/v197-performance-report.md","Performance specs and an older performance report exist in the repo","","","","","","","","","","","v197-performance-acceptance.spec.ts","","","UNPROVEN","No measurement captured on 6d7eeef this session; named reference devices not declared","Run the performance suite on the candidate and record device-named measurements","budget: <=2px","","OPEN"
"G05-001","MASTERPLAN_V5","843-928","G05_LIVE_AI","Server-only provider boundary","Provider key exists only in server env; never in bundle/logs/chat","apps/api/app/ai/openai_provider.py, app/ai/prompts.py, app/api/v1/cognition.py","","","","POST /api/v1/cognition/talk","model gateway / ai provider","intelligence.py","0015, 0021","","OpenAI (gpt-4.1)","","","infra/scripts/openai-ui-smoke.mjs, infra/scripts/live-talk-two-turn-proof.mjs","","","PASS","secret-scan exit 0; openai-ui-smoke.mjs strips KEY/TOKEN/SECRET from browser env","Configure a newly rotated server-only key on this candidate, then run the two-turn proof","LIVE_AI_PASS_CURRENT on 6d7eeef, not inherited from 33a5dab","","PASS"
"G05-002","MASTERPLAN_V5","843-928","G05_LIVE_AI","Responses API via official SDK","OpenAI adapter uses the official server SDK and Responses API","apps/api/app/ai/openai_provider.py, app/ai/prompts.py, app/api/v1/cognition.py","","","","POST /api/v1/cognition/talk","model gateway / ai provider","intelligence.py","0015, 0021","","OpenAI (gpt-4.1)","","","infra/scripts/openai-ui-smoke.mjs, infra/scripts/live-talk-two-turn-proof.mjs","","","PARTIAL","apps/api/app/ai/openai_provider.py implements the adapter; Responses-API conformance not re-verified this session","Configure a newly rotated server-only key on this candidate, then run the two-turn proof","LIVE_AI_PASS_CURRENT on 6d7eeef, not inherited from 33a5dab","","OPEN"
"G05-003","MASTERPLAN_V5","843-928","G05_LIVE_AI","Model-compatible reasoning parameters","reasoning.effort only sent to models that support it","apps/api/app/ai/openai_provider.py, app/ai/prompts.py, app/api/v1/cognition.py","","","","POST /api/v1/cognition/talk","model gateway / ai provider","intelligence.py","0015, 0021","","OpenAI (gpt-4.1)","","","infra/scripts/openai-ui-smoke.mjs, infra/scripts/live-talk-two-turn-proof.mjs","","","PASS","_supports_reasoning_effort() gates on o1/o3/o4/gpt-5 prefixes (Live-Talk commit 6d7eeef)","Configure a newly rotated server-only key on this candidate, then run the two-turn proof","LIVE_AI_PASS_CURRENT on 6d7eeef, not inherited from 33a5dab","","PASS"
"G05-004","MASTERPLAN_V5","843-928","G05_LIVE_AI","Real semantic SSE stream","Semantic events, not word-splitting a completed response","apps/api/app/ai/openai_provider.py, app/ai/prompts.py, app/api/v1/cognition.py","","","","POST /api/v1/cognition/talk","model gateway / ai provider","intelligence.py","0015, 0021","","OpenAI (gpt-4.1)","","","infra/scripts/openai-ui-smoke.mjs, infra/scripts/live-talk-two-turn-proof.mjs","","","PARTIAL","app/api/v1/cognition.py streams; event-family conformance to the V5 list unproven","Configure a newly rotated server-only key on this candidate, then run the two-turn proof","LIVE_AI_PASS_CURRENT on 6d7eeef, not inherited from 33a5dab","","OPEN"
"G05-005","MASTERPLAN_V5","843-928","G05_LIVE_AI","Strict Structured Outputs","Schema-valid structured output with deterministic validation","apps/api/app/ai/openai_provider.py, app/ai/prompts.py, app/api/v1/cognition.py","","","","POST /api/v1/cognition/talk","model gateway / ai provider","intelligence.py","0015, 0021","","OpenAI (gpt-4.1)","","","infra/scripts/openai-ui-smoke.mjs, infra/scripts/live-talk-two-turn-proof.mjs","","","PASS","test_ai_structured_outputs.py + test_intelligence_contracts.py pass in the 180-run","Configure a newly rotated server-only key on this candidate, then run the two-turn proof","LIVE_AI_PASS_CURRENT on 6d7eeef, not inherited from 33a5dab","","PASS"
"G05-006","MASTERPLAN_V5","843-928","G05_LIVE_AI","Valid source_refs","source_refs contain only verbatim kind:id tokens from the evidence list","apps/api/app/ai/openai_provider.py, app/ai/prompts.py, app/api/v1/cognition.py","","","","POST /api/v1/cognition/talk","model gateway / ai provider","intelligence.py","0015, 0021","","OpenAI (gpt-4.1)","","","infra/scripts/openai-ui-smoke.mjs, infra/scripts/live-talk-two-turn-proof.mjs","","","PASS","prompts.py enforces the verbatim contract; test_verifier_grounding.py passes","Configure a newly rotated server-only key on this candidate, then run the two-turn proof","LIVE_AI_PASS_CURRENT on 6d7eeef, not inherited from 33a5dab","","PASS"
"G05-007","MASTERPLAN_V5","843-928","G05_LIVE_AI","model_run persisted","model_run_id recorded with provider/model/policy metadata","apps/api/app/ai/openai_provider.py, app/ai/prompts.py, app/api/v1/cognition.py","","","","POST /api/v1/cognition/talk","model gateway / ai provider","intelligence.py","0015, 0021","","OpenAI (gpt-4.1)","","","infra/scripts/openai-ui-smoke.mjs, infra/scripts/live-talk-two-turn-proof.mjs","","","PASS","models/intelligence.py + migration 0015; covered by backend tests","Configure a newly rotated server-only key on this candidate, then run the two-turn proof","LIVE_AI_PASS_CURRENT on 6d7eeef, not inherited from 33a5dab","","PASS"
"G05-008","MASTERPLAN_V5","843-928","G05_LIVE_AI","MODEL_GENERATED response persisted + refresh","Refresh restores the exact message/run relationship","apps/api/app/ai/openai_provider.py, app/ai/prompts.py, app/api/v1/cognition.py","","","","POST /api/v1/cognition/talk","model gateway / ai provider","intelligence.py","0015, 0021","","OpenAI (gpt-4.1)","","","infra/scripts/openai-ui-smoke.mjs, infra/scripts/live-talk-two-turn-proof.mjs","","","BLOCKED_EXTERNAL","Proven in worktree NUR-LIVE-TALK-PROOF-20260723 at 33a5dab; NOT proven on 6d7eeef (no .env.local here)","Configure a newly rotated server-only key on this candidate, then run the two-turn proof","LIVE_AI_PASS_CURRENT on 6d7eeef, not inherited from 33a5dab","FOUNDER_ACTION_REQUIRED_CONFIGURE_OPENAI","OPEN"
"G05-009","MASTERPLAN_V5","843-928","G05_LIVE_AI","Second turn succeeds","Two consecutive real turns with exact replies","apps/api/app/ai/openai_provider.py, app/ai/prompts.py, app/api/v1/cognition.py","","","","POST /api/v1/cognition/talk","model gateway / ai provider","intelligence.py","0015, 0021","","OpenAI (gpt-4.1)","","","infra/scripts/openai-ui-smoke.mjs, infra/scripts/live-talk-two-turn-proof.mjs","","","BLOCKED_EXTERNAL","live-talk-two-turn-proof.mjs exists; requires a configured key on this candidate","Configure a newly rotated server-only key on this candidate, then run the two-turn proof","LIVE_AI_PASS_CURRENT on 6d7eeef, not inherited from 33a5dab","FOUNDER_ACTION_REQUIRED_CONFIGURE_OPENAI","OPEN"
"G05-010","MASTERPLAN_V5","843-928","G05_LIVE_AI","Cancel succeeds","Cancellation ends billing/work where supported","apps/api/app/ai/openai_provider.py, app/ai/prompts.py, app/api/v1/cognition.py","","","","POST /api/v1/cognition/talk","model gateway / ai provider","intelligence.py","0015, 0021","","OpenAI (gpt-4.1)","","","infra/scripts/openai-ui-smoke.mjs, infra/scripts/live-talk-two-turn-proof.mjs","","","UNPROVEN","No cancel test found for the Talk stream path","Configure a newly rotated server-only key on this candidate, then run the two-turn proof","LIVE_AI_PASS_CURRENT on 6d7eeef, not inherited from 33a5dab","","OPEN"
"G05-011","MASTERPLAN_V5","843-928","G05_LIVE_AI","Reconnect / idempotence","Disconnects reconcile by run id without duplicating a response","apps/api/app/ai/openai_provider.py, app/ai/prompts.py, app/api/v1/cognition.py","","","","POST /api/v1/cognition/talk","model gateway / ai provider","intelligence.py","0015, 0021","","OpenAI (gpt-4.1)","","","infra/scripts/openai-ui-smoke.mjs, infra/scripts/live-talk-two-turn-proof.mjs","","","PARTIAL","migration 0021_talk_stream_idempotency + test_cognition_streaming.py exist; reconnect not browser-proven","Configure a newly rotated server-only key on this candidate, then run the two-turn proof","LIVE_AI_PASS_CURRENT on 6d7eeef, not inherited from 33a5dab","","OPEN"
"G05-012","MASTERPLAN_V5","843-928","G05_LIVE_AI","Timeout/provider error fails closed","Provider failure yields an honest retryable state, never a fabricated answer","apps/api/app/ai/openai_provider.py, app/ai/prompts.py, app/api/v1/cognition.py","","","","POST /api/v1/cognition/talk","model gateway / ai provider","intelligence.py","0015, 0021","","OpenAI (gpt-4.1)","","","infra/scripts/openai-ui-smoke.mjs, infra/scripts/live-talk-two-turn-proof.mjs","","","PASS","test_ai_provider_failures.py passes","Configure a newly rotated server-only key on this candidate, then run the two-turn proof","LIVE_AI_PASS_CURRENT on 6d7eeef, not inherited from 33a5dab","","PASS"
"G05-013","MASTERPLAN_V5","843-928","G05_LIVE_AI","Budgets enforced","Per-user/plan/mode/global cost and rate budgets","apps/api/app/ai/openai_provider.py, app/ai/prompts.py, app/api/v1/cognition.py","","","","POST /api/v1/cognition/talk","model gateway / ai provider","intelligence.py","0015, 0021","","OpenAI (gpt-4.1)","","","infra/scripts/openai-ui-smoke.mjs, infra/scripts/live-talk-two-turn-proof.mjs","","","MISSING","No budget enforcement module found in app/ai or app/cognition","Configure a newly rotated server-only key on this candidate, then run the two-turn proof","LIVE_AI_PASS_CURRENT on 6d7eeef, not inherited from 33a5dab","","OPEN"
"G05-014","MASTERPLAN_V5","843-928","G05_LIVE_AI","Prompt logging off by default","No raw prompt logging by default","apps/api/app/ai/openai_provider.py, app/ai/prompts.py, app/api/v1/cognition.py","","","","POST /api/v1/cognition/talk","model gateway / ai provider","intelligence.py","0015, 0021","","OpenAI (gpt-4.1)","","","infra/scripts/openai-ui-smoke.mjs, infra/scripts/live-talk-two-turn-proof.mjs","","","PARTIAL","Structured logging exists; no explicit test asserting prompts are never logged","Configure a newly rotated server-only key on this candidate, then run the two-turn proof","LIVE_AI_PASS_CURRENT on 6d7eeef, not inherited from 33a5dab","","OPEN"
"G06-001","MASTERPLAN_V5","3381","G06_RECOVERY","Production email adapter","Real transactional delivery provider configured and verified","apps/api/app/services/password_delivery.py, app/api/v1/password_recovery.py","","","","","password_delivery.py","","0022","","","test_password_recovery.py","","","","","BLOCKED_EXTERNAL","app/services/password_delivery.py exists; no production provider configured","","Public release requires a real configured delivery provider","FOUNDER_ACTION_REQUIRED_CONFIGURE_EMAIL_PROVIDER","OPEN"
"G06-002","MASTERPLAN_V5","3381","G06_RECOVERY","Development local capture","Local capture clearly labelled development-only","apps/api/app/services/password_delivery.py, app/api/v1/password_recovery.py","","","","","password_delivery.py","","0022","","","test_password_recovery.py","","","","","PASS","","","Public release requires a real configured delivery provider","","PASS"
"G06-003","MASTERPLAN_V5","3381","G06_RECOVERY","Reset/verification templates","Templates for reset and verification mail","apps/api/app/services/password_delivery.py, app/api/v1/password_recovery.py","","","","","password_delivery.py","","0022","","","test_password_recovery.py","","","","","PARTIAL","Reset template path exists; verification template absent (see G02-012)","","Public release requires a real configured delivery provider","","OPEN"
"G06-004","MASTERPLAN_V5","3381","G06_RECOVERY","Delivery retry/dedup/bounce","Retry, dedup and bounce handling","apps/api/app/services/password_delivery.py, app/api/v1/password_recovery.py","","","","","password_delivery.py","","0022","","","test_password_recovery.py","","","","","MISSING","No retry/dedup/bounce handling in password_delivery.py","","Public release requires a real configured delivery provider","","OPEN"
"G06-005","MASTERPLAN_V5","3381","G06_RECOVERY","Safe logging","Raw reset tokens never logged","apps/api/app/services/password_delivery.py, app/api/v1/password_recovery.py","","","","","password_delivery.py","","0022","","","test_password_recovery.py","","","","","PASS","test_password_recovery.py asserts hashed-only storage","","Public release requires a real configured delivery provider","","PASS"
"G06-006","MASTERPLAN_V5","3381","G06_RECOVERY","Origin validation","Reset links bound to a verified public origin","apps/api/app/services/password_delivery.py, app/api/v1/password_recovery.py","","","","","password_delivery.py","","0022","","","test_password_recovery.py","","","","","PARTIAL","Origin allowlist exists for API; public-origin binding for links unproven","","Public release requires a real configured delivery provider","","OPEN"
"G06-007","MASTERPLAN_V5","3381","G06_RECOVERY","Provider-disabled honest UI","Honest disabled state when delivery is unavailable","apps/api/app/services/password_delivery.py, app/api/v1/password_recovery.py","","","","","password_delivery.py","","0022","","","test_password_recovery.py","","","","","UNPROVEN","Not asserted by a browser test","","Public release requires a real configured delivery provider","","OPEN"
"G06-008","MASTERPLAN_V5","3381","G06_RECOVERY","Operational runbook","Recovery/delivery runbook documented","apps/api/app/services/password_delivery.py, app/api/v1/password_recovery.py","","","","","password_delivery.py","","0022","","","test_password_recovery.py","","","","","PARTIAL","RUNBOOK.md exists; no delivery-provider section","","Public release requires a real configured delivery provider","","OPEN"
"G07-001","MASTERPLAN_V5","762-1236","G07_INTELLIGENCE","Full vertical intelligence cycle","Talk/Journal -> scope -> retrieval -> evidence -> response -> Keep -> Plan -> Return -> prediction comparison -> learning candidate -> why-changed -> adaptive Today","app/cognition/, app/intelligence/, app/omega/","","","","","","memory.py, intelligence.py, omega.py, learning.py","0003, 0007, 0008, 0015, 0023, 0024","RLS + scope enum enforced at DB/API","","test_personal_memory.py, test_teach_nur.py, test_omega.py, test_live_intelligence.py","","","","","PARTIAL","Every stage has backend code and tests; no single proof runs the whole chain end to end in a browser","","Vertical slice green; zero leakage/tool/citation critical failure","","OPEN"
"G07-002","MASTERPLAN_V5","762-1236","G07_INTELLIGENCE","Identity kernel + multilingual voice","Versioned identity contract and voice profile","app/ai/prompts.py","","","","","","memory.py, intelligence.py, omega.py, learning.py","0003, 0007, 0008, 0015, 0023, 0024","RLS + scope enum enforced at DB/API","","test_personal_memory.py, test_teach_nur.py, test_omega.py, test_live_intelligence.py","","","","","PARTIAL","System prompt encodes the contract; no versioned identity kernel artifact or persona eval","","Vertical slice green; zero leakage/tool/citation critical failure","","OPEN"
"G07-003","MASTERPLAN_V5","762-1236","G07_INTELLIGENCE","Working/episodic/semantic/procedural/social/evidence/self/goal/meta memory","Nine memory layers with provenance","app/models/memory.py, app/models/intelligence.py","","","","","","memory.py, intelligence.py, omega.py, learning.py","0003, 0007, 0008, 0015, 0023, 0024","RLS + scope enum enforced at DB/API","","test_personal_memory.py, test_teach_nur.py, test_omega.py, test_live_intelligence.py","","","","","PARTIAL","Personal memory spine (0023) + omega exist; the nine-layer taxonomy is not explicitly modelled","","Vertical slice green; zero leakage/tool/citation critical failure","","OPEN"
"G07-004","MASTERPLAN_V5","762-1236","G07_INTELLIGENCE","Personal Memory viewer/editor/delete/export","Explicit owner-facing memory management","app/api/v1/memory.py","","","","","","memory.py, intelligence.py, omega.py, learning.py","0003, 0007, 0008, 0015, 0023, 0024","RLS + scope enum enforced at DB/API","","test_personal_memory.py, test_teach_nur.py, test_omega.py, test_live_intelligence.py","","","","","BACKEND_ONLY","Routes + tests exist; no V197 control (see G03-008)","","Vertical slice green; zero leakage/tool/citation critical failure","","OPEN"
"G07-005","MASTERPLAN_V5","762-1236","G07_INTELLIGENCE","Provenance and source minimality","Minimum sufficient evidence packet with provenance labels","app/cognition/","","","","","","memory.py, intelligence.py, omega.py, learning.py","0003, 0007, 0008, 0015, 0023, 0024","RLS + scope enum enforced at DB/API","","test_personal_memory.py, test_teach_nur.py, test_omega.py, test_live_intelligence.py","","","","","PARTIAL","Evidence packet built and cited; minimality not measured by an eval","","Vertical slice green; zero leakage/tool/citation critical failure","","OPEN"
"G07-006","MASTERPLAN_V5","762-1236","G07_INTELLIGENCE","Contradiction and freshness handling","Contradictions detected; stale sources flagged","app/omega/","","","","","","memory.py, intelligence.py, omega.py, learning.py","0003, 0007, 0008, 0015, 0023, 0024","RLS + scope enum enforced at DB/API","","test_personal_memory.py, test_teach_nur.py, test_omega.py, test_live_intelligence.py","","","","","PARTIAL","Omega contradiction model exists; freshness scoring unproven","","Vertical slice green; zero leakage/tool/citation critical failure","","OPEN"
"G07-007","MASTERPLAN_V5","762-1236","G07_INTELLIGENCE","Corrections and belief revision","Owner correction updates claims and records why-changed","app/api/v1/cognition.py, app/omega/","","","","","","memory.py, intelligence.py, omega.py, learning.py","0003, 0007, 0008, 0015, 0023, 0024","RLS + scope enum enforced at DB/API","","test_personal_memory.py, test_teach_nur.py, test_omega.py, test_live_intelligence.py","","","","","PARTIAL","Correction routes exist; why-changed chain not browser-proven","","Vertical slice green; zero leakage/tool/citation critical failure","","OPEN"
"G07-008","MASTERPLAN_V5","762-1236","G07_INTELLIGENCE","Outcome learning","Prediction vs outcome comparison drives learning candidates","app/models/intelligence.py","","","","","","memory.py, intelligence.py, omega.py, learning.py","0003, 0007, 0008, 0015, 0023, 0024","RLS + scope enum enforced at DB/API","","test_personal_memory.py, test_teach_nur.py, test_omega.py, test_live_intelligence.py","","","","","PARTIAL","Models and services exist; calibration eval absent","","Vertical slice green; zero leakage/tool/citation critical failure","","OPEN"
"G07-009","MASTERPLAN_V5","762-1236","G07_INTELLIGENCE","Omega consolidation/review/why-changed/export","Scheduled consolidation with owner review and export","app/omega/","","","","","","memory.py, intelligence.py, omega.py, learning.py","0003, 0007, 0008, 0015, 0023, 0024","RLS + scope enum enforced at DB/API","","test_personal_memory.py, test_teach_nur.py, test_omega.py, test_live_intelligence.py","","","","","PARTIAL","test_omega.py passes; scheduler idempotence/replay/rollback unproven","","Vertical slice green; zero leakage/tool/citation critical failure","","OPEN"
"G07-010","MASTERPLAN_V5","762-1236","G07_INTELLIGENCE","Teach NUR quarantine + poisoning defence","Quarantine, provenance, injection/poisoning checks, review, canary, rollback","app/learning/","","","","","","memory.py, intelligence.py, omega.py, learning.py","0003, 0007, 0008, 0015, 0023, 0024","RLS + scope enum enforced at DB/API","","test_personal_memory.py, test_teach_nur.py, test_omega.py, test_live_intelligence.py","","","","","BACKEND_ONLY","Migration 0024 + test_teach_nur.py exist; no V197 control (see G03-009)","","Vertical slice green; zero leakage/tool/citation critical failure","","OPEN"
"G07-011","MASTERPLAN_V5","762-1236","G07_INTELLIGENCE","Research/Web gateway with citations","Lawful retrieval with citations, counter-sources, freshness, untrusted-content isolation","app/api/v1/group_research.py","","","","","","memory.py, intelligence.py, omega.py, learning.py","0003, 0007, 0008, 0015, 0023, 0024","RLS + scope enum enforced at DB/API","","test_personal_memory.py, test_teach_nur.py, test_omega.py, test_live_intelligence.py","","","","","BLOCKED_EXTERNAL","research.live-fetch is BLOCKED_BY_EXTERNAL_PROVIDER in the control matrix","","Vertical slice green; zero leakage/tool/citation critical failure","","OPEN"
"G07-012","MASTERPLAN_V5","762-1236","G07_INTELLIGENCE","Bounded tools with confirmation","Money/publish/contact/delete/permission/security/legal actions require confirmation","","","","","","","memory.py, intelligence.py, omega.py, learning.py","0003, 0007, 0008, 0015, 0023, 0024","RLS + scope enum enforced at DB/API","","test_personal_memory.py, test_teach_nur.py, test_omega.py, test_live_intelligence.py","","","","","MISSING","No tool registry with risk classes and confirmation rules found","","Vertical slice green; zero leakage/tool/citation critical failure","","OPEN"
"G07-013","MASTERPLAN_V5","762-1236","G07_INTELLIGENCE","Multilingual/adversarial evaluation","Eval suite across en/ur-roman/ur-script/hi-roman/hi plus other scripts","packages/evals (absent)","","","","","","memory.py, intelligence.py, omega.py, learning.py","0003, 0007, 0008, 0015, 0023, 0024","RLS + scope enum enforced at DB/API","","test_personal_memory.py, test_teach_nur.py, test_omega.py, test_live_intelligence.py","","","","","MISSING","No packages/evals; no regression eval harness","","Vertical slice green; zero leakage/tool/citation critical failure","","OPEN"
"G07-014","MASTERPLAN_V5","762-1236","G07_INTELLIGENCE","No cross-user leakage","Zero cross-user or cross-container disclosure","app/tests/test_rls.py","","","","","","memory.py, intelligence.py, omega.py, learning.py","0003, 0007, 0008, 0015, 0023, 0024","RLS + scope enum enforced at DB/API","","test_personal_memory.py, test_teach_nur.py, test_omega.py, test_live_intelligence.py","","","","","PASS","","","Vertical slice green; zero leakage/tool/citation critical failure","","PASS"
"G07-015","MASTERPLAN_V5","762-1236","G07_INTELLIGENCE","No false sentience claims","Never claims to be human, conscious or sentient","app/ai/prompts.py","","","","","","memory.py, intelligence.py, omega.py, learning.py","0003, 0007, 0008, 0015, 0023, 0024","RLS + scope enum enforced at DB/API","","test_personal_memory.py, test_teach_nur.py, test_omega.py, test_live_intelligence.py","","","","","PARTIAL","Prompt forbids it; no adversarial persona eval proves it","","Vertical slice green; zero leakage/tool/citation critical failure","","OPEN"
"G08-001","MASTERPLAN_V5","2883-2932","G08_REVENUE","Plans / customers / subscriptions / entitlements","Server-owned entitlement service maps subscription state to features","apps/api/app/billing/, app/models/billing.py","","","","","","billing.py","0025","","payment provider (test mode)","test_billing.py","","","","","PARTIAL","app/billing/ + models/billing.py + migration 0025 + test_billing.py exist","","Provider test-mode E2E plus replay/out-of-order matrix green","","OPEN"
"G08-002","MASTERPLAN_V5","2883-2932","G08_REVENUE","Provider test-mode checkout","Real provider test-mode checkout session","apps/api/app/billing/, app/models/billing.py","","","","","","billing.py","0025","","payment provider (test mode)","test_billing.py","","","","","BLOCKED_EXTERNAL","No billing provider configured; Lemon Squeezy is the plan's first candidate","","Provider test-mode E2E plus replay/out-of-order matrix green","FOUNDER_ACTION_REQUIRED_CONFIGURE_BILLING_TEST_PROVIDER","OPEN"
"G08-003","MASTERPLAN_V5","2883-2932","G08_REVENUE","Signed webhook verification","Signature verified with constant-time comparison","apps/api/app/billing/, app/models/billing.py","","","","","","billing.py","0025","","payment provider (test mode)","test_billing.py","","","","","PARTIAL","hmac.compare_digest verification present; no live provider signature fixture","","Provider test-mode E2E plus replay/out-of-order matrix green","","OPEN"
"G08-004","MASTERPLAN_V5","2883-2932","G08_REVENUE","Replay/out-of-order/duplicate handling","Idempotent receipts; out-of-order events reconciled","apps/api/app/billing/, app/models/billing.py","","","","","","billing.py","0025","","payment provider (test mode)","test_billing.py","","","","","PARTIAL","webhook_receipts modelled; out-of-order matrix test absent","","Provider test-mode E2E plus replay/out-of-order matrix green","","OPEN"
"G08-005","MASTERPLAN_V5","2883-2932","G08_REVENUE","Entitlement survives refresh/relogin","Entitlement persists across sessions","apps/api/app/billing/, app/models/billing.py","","","","","","billing.py","0025","","payment provider (test mode)","test_billing.py","","","","","UNPROVEN","No browser proof","","Provider test-mode E2E plus replay/out-of-order matrix green","","OPEN"
"G08-006","MASTERPLAN_V5","2883-2932","G08_REVENUE","Billing UI in canonical V197","Plan/checkout/portal/cancel visible in the canonical shell","apps/api/app/billing/, app/models/billing.py","","","","","","billing.py","0025","","payment provider (test mode)","test_billing.py","","","","","MISSING","No billing control in the V197 control matrix","","Provider test-mode E2E plus replay/out-of-order matrix green","","OPEN"
"G08-007","MASTERPLAN_V5","2883-2932","G08_REVENUE","Receipts","User-visible receipts for each charge","apps/api/app/billing/, app/models/billing.py","","","","","","billing.py","0025","","payment provider (test mode)","test_billing.py","","","","","MISSING","No receipt surface","","Provider test-mode E2E plus replay/out-of-order matrix green","","OPEN"
"G08-008","MASTERPLAN_V5","2883-2932","G08_REVENUE","Accessible cancellation","Self-serve cancellation with no exit friction","apps/api/app/billing/, app/models/billing.py","","","","","","billing.py","0025","","payment provider (test mode)","test_billing.py","","","","","MISSING","No cancellation surface","","Provider test-mode E2E plus replay/out-of-order matrix green","","OPEN"
"G08-009","MASTERPLAN_V5","2883-2932","G08_REVENUE","Refund / past-due / expiry states","Access updates correctly per state","apps/api/app/billing/, app/models/billing.py","","","","","","billing.py","0025","","payment provider (test mode)","test_billing.py","","","","","PARTIAL","Entitlement states modelled; state-transition E2E absent","","Provider test-mode E2E plus replay/out-of-order matrix green","","OPEN"
"G08-010","MASTERPLAN_V5","2883-2932","G08_REVENUE","Privacy policy / terms / refund policy links","Legal beta surfaces linked from the product","apps/api/app/billing/, app/models/billing.py","","","","","","billing.py","0025","","payment provider (test mode)","test_billing.py","","","","","MISSING","No legal surface links found","","Provider test-mode E2E plus replay/out-of-order matrix green","","OPEN"
"G08-011","MASTERPLAN_V5","2883-2932","G08_REVENUE","API-boundary entitlement + cost enforcement","Entitlement checked at the API boundary, not the frontend","apps/api/app/billing/, app/models/billing.py","","","","","","billing.py","0025","","payment provider (test mode)","test_billing.py","","","","","PARTIAL","Feature-lock endpoints exist (test_feature_lock_endpoints.py); cost enforcement absent (see G05-013)","","Provider test-mode E2E plus replay/out-of-order matrix green","","OPEN"
"G08-012","MASTERPLAN_V5","2883-2932","G08_REVENUE","Export / delete","Data export and deletion always available and never paid-gated","apps/api/app/billing/, app/models/billing.py","","","","","","billing.py","0025","","payment provider (test mode)","test_billing.py","","","","","MISSING","See G02-014 and G02-015","","Provider test-mode E2E plus replay/out-of-order matrix green","","OPEN"
"G09-001","MASTERPLAN_V5","2066-2243, 2283-2347","G09_GLOW","Append-only Glow ledger + balance","Ledger and balance updated atomically","apps/api/app/services/glow_service.py, app/api/v1/glow.py, app/api/v1/notifications.py","","","apps/web/src/bridge/v197Rewards.ts","","","","0011, 0017, 0020, 0026","","","test_notifications.py","","","","","PARTIAL","app/services/glow_service.py + migration 0026 + api/v1/glow.py exist","","All rewards derive from real server events; abuse suite green","","OPEN"
"G09-002","MASTERPLAN_V5","2066-2243, 2283-2347","G09_GLOW","Verified earning rules","Rewards derive only from verified server-side domain events","apps/api/app/services/glow_service.py, app/api/v1/glow.py, app/api/v1/notifications.py","","","apps/web/src/bridge/v197Rewards.ts","","","","0011, 0017, 0020, 0026","","","test_notifications.py","","","","","PARTIAL","Rules exist; the full V5 earn-rule table is not proven complete","","All rewards derive from real server events; abuse suite green","","OPEN"
"G09-003","MASTERPLAN_V5","2066-2243, 2283-2347","G09_GLOW","Caps and multipliers","Daily caps by event family; diminishing repeat rewards","apps/api/app/services/glow_service.py, app/api/v1/glow.py, app/api/v1/notifications.py","","","apps/web/src/bridge/v197Rewards.ts","","","","0011, 0017, 0020, 0026","","","test_notifications.py","","","","","PARTIAL","Modelled; abuse suite absent","","All rewards derive from real server events; abuse suite green","","OPEN"
"G09-004","MASTERPLAN_V5","2066-2243, 2283-2347","G09_GLOW","Idempotency","Unique idempotency key per reward","apps/api/app/services/glow_service.py, app/api/v1/glow.py, app/api/v1/notifications.py","","","apps/web/src/bridge/v197Rewards.ts","","","","0011, 0017, 0020, 0026","","","test_notifications.py","","","","","PARTIAL","Modelled; replay test not confirmed","","All rewards derive from real server events; abuse suite green","","OPEN"
"G09-005","MASTERPLAN_V5","2066-2243, 2283-2347","G09_GLOW","Reversal","Reversal with reason and appeal","apps/api/app/services/glow_service.py, app/api/v1/glow.py, app/api/v1/notifications.py","","","apps/web/src/bridge/v197Rewards.ts","","","","0011, 0017, 0020, 0026","","","test_notifications.py","","","","","PARTIAL","glow_reversals modelled; no appeal flow","","All rewards derive from real server events; abuse suite green","","OPEN"
"G09-006","MASTERPLAN_V5","2066-2243, 2283-2347","G09_GLOW","Fraud flags","Duplicate/device/account farming and collusion detection","apps/api/app/services/glow_service.py, app/api/v1/glow.py, app/api/v1/notifications.py","","","apps/web/src/bridge/v197Rewards.ts","","","","0011, 0017, 0020, 0026","","","test_notifications.py","","","","","MISSING","No fraud detection implementation","","All rewards derive from real server events; abuse suite green","","OPEN"
